"","rootClass","class","name","getter","use","index","nullness.jaif","nullness.actual","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"59","com.google.common.collect.ImmutableMultimap","com.google.common.collect.ImmutableSetMultimap","builder()",FALSE,"return",-1,"NonNull","NonNull",0,0,19,19,0,0,"NonNull"
"60","com.google.common.collect.ImmutableMultimap$Builder","com.google.common.collect.ImmutableListMultimap$Builder","putAll(Ljava/lang/Iterable;)",FALSE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"61","com.google.common.collect.ImmutableMultimap$Builder","com.google.common.collect.ImmutableMultimap$Builder","put(Ljava/lang/Object;Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,8,8,0,0,"NonNull"
"62","com.google.common.collect.ImmutableMultimap$Builder","com.google.common.collect.ImmutableSetMultimap$Builder","putAll(Ljava/lang/Iterable;)",FALSE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"63","com.google.common.collect.ImmutableRangeSet$Builder","com.google.common.collect.ImmutableRangeSet$Builder","addAll(Ljava/lang/Iterable;)",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"64","com.google.common.collect.ImmutableSet","com.google.common.collect.ImmutableSet","builder()",FALSE,"return",-1,"NonNull","NonNull",0,0,51,51,0,0,"NonNull"
"65","com.google.common.collect.ImmutableSet","com.google.common.collect.ImmutableSet","builderWithExpectedSize(I)",FALSE,"return",-1,"NonNull","NonNull",0,0,6,6,0,0,"NonNull"
"66","com.google.common.collect.ImmutableSet","com.google.common.collect.ImmutableSet","of(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"67","com.google.common.collect.ImmutableSortedMap","com.google.common.collect.ImmutableSortedMap","naturalOrder()",FALSE,"return",-1,"NonNull","NonNull",0,0,8,8,0,0,"NonNull"
"68","com.google.common.collect.ImmutableSortedMap","com.google.common.collect.ImmutableSortedMap","orderedBy(Ljava/util/Comparator;)",FALSE,"return",-1,"NonNull","NonNull",0,0,7,7,0,0,"NonNull"
"69","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.ImmutableSortedSet","orderedBy(Ljava/util/Comparator;)",FALSE,"return",-1,"NonNull","NonNull",0,0,5,5,0,0,"NonNull"
